date,favourite,opponent,model_prob,market_prob,result
2026-08-14,Gerwyn Price,Mark Cleaver,0.917,0.906,W
2026-08-14,Ross Smith,Adam Leek,0.802,0.795,L
2026-08-14,James Wade,Kayden Milne,0.936,,W
2026-08-14,Josh Rock,Simon Whitlock,0.704,0.699,W
2026-08-14,Gian van Veen,Jonny Tata,0.833,0.806,W
2026-08-14,Jonny Clayton,Haupai Puha,0.869,0.821,W
2026-08-14,Damon Heta,Ben Robb,0.745,0.759,W
2026-08-14,Stephen Bunting,Raymond Smith,0.692,0.652,L
2026-07-28,Neil Duff,Richie Burnett,0.594,0.569,W
2026-07-28,Steve West,Andreas Harrysson,0.544,0.564,L
2026-07-28,Scott Mitchell,Richie Burnett,0.655,0.644,W
2026-07-28,Neil Duff,Robert Thornton,0.761,,W
2026-07-28,Steve West,Richie Burnett,0.668,0.625,L
2026-07-28,Andreas Harrysson,Robert Thornton,0.811,,W
2026-07-28,Neil Duff,Scott Mitchell,0.622,,L
2026-07-26,Luke Littler,Gerwyn Price,0.882,0.879,W
2026-07-26,Beau Greaves,Kirsi Viinikainen,0.920,0.928,W
2026-07-26,Gemma Hayter,Vicky Pruim,0.645,0.620,W
2026-07-26,Lisa Ashton,Rhian O'Sullivan,0.577,0.583,W
2026-07-26,Fallon Sherrock,Deta Hedman,0.543,0.570,W
2026-07-26,Beau Greaves,Kirsi Viinikainen,0.920,0.928,VOID
2026-07-26,Gemma Hayter,Vicky Pruim,0.645,0.620,VOID
2026-07-26,Lisa Ashton,Rhian O'Sullivan,0.577,0.583,VOID
2026-07-26,Fallon Sherrock,Deta Hedman,0.543,0.570,VOID
2026-07-25,Gerwyn Price,Gian van Veen,0.650,0.630,W
2026-07-25,Luke Littler,Dirk van Duijvenbode,0.941,0.943,W
2026-07-25,Luke Littler,Dirk van Duijvenbode,0.666,0.488,VOID
2026-07-24,Gerwyn Price,Ross Smith,0.658,0.616,W
2026-07-24,Gian van Veen,James Wade,0.551,0.535,W
2026-07-23,Gary Anderson,Dirk van Duijvenbode,0.683,0.664,L
2026-07-23,Luke Littler,Josh Rock,0.890,0.885,W
2026-07-22,Wessel Nijman,Gian van Veen,0.501,0.614,L
2026-07-22,Gerwyn Price,Rob Cross,0.693,0.374,W
2026-07-22,James Wade,Ryan Searle,0.573,0.529,W
2026-07-22,Ross Smith,Cameron Menzies,0.682,0.633,VOID
2026-07-21,Jonny Clayton,Gary Anderson,0.519,0.448,L
2026-07-21,Michael van Gerwen,Dirk van Duijvenbode,0.675,0.623,L
2026-07-21,Luke Littler,Nathan Aspinall,0.841,0.804,W
2026-07-21,Stephen Bunting,Josh Rock,0.518,0.540,L
2026-07-20,Ross Smith,Kevin Doets,0.520,0.486,W
2026-07-20,Gerwyn Price,Martin Schindler,0.799,0.772,W
2026-07-20,Luke Humphries,Cameron Menzies,0.903,0.841,L
2026-07-20,Rob Cross,Danny Noppert,0.514,0.587,W
2026-07-18,Josh Rock,Luke Woodhouse,0.559,0.544,W
2026-07-18,Stephen Bunting,Niels Zonneveld,0.637,0.610,W
2026-07-18,Luke Littler,Niko Springer,0.937,0.901,W
2026-07-18,Nathan Aspinall,Joe Cullen,0.805,0.618,W
2026-07-18,Chris Dobey,Dirk van Duijvenbode,0.646,0.625,L
2026-07-18,Gary Anderson,Ryan Joyce,0.679,0.789,W
2026-07-18,Michael van Gerwen,Andrew Gilding,0.670,0.676,W
2026-07-18,Jonny Clayton,Damon Heta,0.683,0.614,W
2026-07-18,Ryan Searle,William O'Connor,0.722,0.601,W
2026-07-18,James Wade,Jermaine Wattimena,0.582,0.607,W
2026-07-18,Gian van Veen,Krzysztof Ratajski,0.587,0.557,W
2026-07-18,Wessel Nijman,Dave Chisnall,0.827,0.847,W
2026-07-12,Luke Woodhouse,Jermaine Wattimena,0.530,0.588,L
2026-07-12,Damon Heta,Dirk van Duijvenbode,0.501,0.481,W
