date,favourite,opponent,model_prob,market_prob,result
2026-08-09,dplus kia,kt rolster,0.541,,W
2026-08-09,bnk fearx,drx,0.618,,W
2026-08-09,g2 esports,team heretics,0.736,,W
2026-08-09,karmine corp,fnatic,0.763,,W
2026-08-09,lyon,team dignitas,0.816,0.902,W
2026-08-09,team liquid,flyquest,0.655,0.694,W
2026-08-08,t1,hanwha life esports,0.552,,L
2026-08-08,nongshim redforce,soopers,0.743,,L
2026-08-08,natus vincere,sk gaming,0.677,,W
2026-08-08,movistar koi,giantx,0.579,,L
2026-08-08,cloud9,disguised,0.830,,W
2026-08-08,sentinels,shopify rebellion,0.708,0.705,L
2026-08-07,geng,kt rolster,0.573,0.571,W
2026-08-07,giantx,shifters,0.674,,W
2026-08-07,team heretics,fnatic,0.519,,W
2026-08-06,drx,soopers,0.672,0.664,W
2026-08-05,hanwha life esports,geng,0.567,0.590,L
2026-08-03,natus vincere,shifters,0.777,,W
2026-08-03,karmine corp,team heretics,0.790,,W
2026-08-02,brion,soopers,0.628,,L
2026-08-02,hanwha life esports,kt rolster,0.613,,L
2026-08-02,g2 esports,sk gaming,0.743,,W
2026-08-02,movistar koi,fnatic,0.624,,W
2026-08-02,lyon,shopify rebellion,0.775,,W
2026-08-02,team liquid,sentinels,0.690,,W
2026-08-02,spirit,mouz,0.670,,L
2026-08-01,bnk fearx,nongshim redforce,0.525,,L
2026-08-01,geng,dplus kia,0.719,,L
2026-08-01,giantx,sk gaming,0.683,,L
2026-08-01,karmine corp,natus vincere,0.611,,W
2026-08-01,cloud9,team dignitas,0.790,,W
2026-08-01,flyquest,disguised,0.674,,W
2026-07-31,brion,drx,0.599,0.604,L
2026-07-31,team vitality,team heretics,0.788,,W
2026-07-31,geng,t1,0.639,0.638,L
2026-07-31,sinners,rune eaters,0.779,,W
2026-07-31,faze clan,the mongolz,0.577,0.607,W
2026-07-31,astralis,pain,0.541,,W
2026-07-31,jijiehao,black phoenix,0.803,,L
2026-07-31,movistar koi,shifters,0.851,0.838,W
2026-07-30,bnk fearx,soopers,0.815,0.805,W
2026-07-29,nongshim redforce,drx,0.538,,W
2026-07-29,t1,kt rolster,0.755,0.744,L
2026-07-28,enjoy,black phoenix,0.646,,L
2026-07-28,genone,new vision,0.755,,L
2026-07-26,team vitality,movistar koi,0.627,,W
2026-07-26,karmine corp,g2 esports,0.527,,W
2026-07-26,cloud9,team liquid,0.529,,L
2026-07-26,shopify rebellion,disguised,0.611,,W
2026-07-26,pain gaming,ninjas in pyjamas,0.555,,W
2026-07-26,fut esports,3dmax,0.735,0.745,L
2026-07-26,inox division,g2 ares,0.694,0.741,W
2026-07-26,largadosypelados,oddik,0.536,,L
2026-07-26,themongolz,wildcard,0.769,0.649,W
2026-07-26,spirit,100 thieves,0.898,,W
2026-07-26,fluxo w7m,isurus,0.574,0.746,L
2026-07-25,team vitality,g2 esports,0.568,,L
2026-07-25,karmine corp,movistar koi,0.588,,W
2026-07-25,sentinels,team dignitas,0.825,0.816,W
2026-07-25,lyon,flyquest,0.703,,W
2026-07-24,the mongolz,heroic,0.687,,W
2026-07-24,team vitality,team liquid,0.750,,L
2026-07-24,g2 esports,movistar koi,0.682,0.685,W
2026-07-24,team vitality,karmine corp,0.566,,L
2026-07-24,eternal fire,1w team,0.539,0.539,W
2026-07-24,oddik,bounty hunters,0.534,,W
2026-07-24,keyd stars,alka gaming,0.681,,W
2026-07-24,largadosypelados,magicos,0.906,0.898,W
2026-07-23,aurora gaming,fokus,0.706,,L
2026-07-23,fut esports,sinners esports,0.767,,W
2026-07-23,pain gaming,gentle mates,0.516,,W
2026-07-23,team spirit,og,0.818,,W
2026-07-22,g2 esports,nemiga,0.695,,W
2026-07-22,gamerlegion,hotu,0.597,,L
2026-07-22,falcons,100 thieves,0.786,,L
2026-07-22,faze clan,eyeballers,0.776,0.792,W
2026-07-22,just_players,1w team,0.622,,L
2026-07-22,endless journey,inox division,0.525,,L
2026-07-21,m80,ninjas in pyjamas,0.567,,L
2026-07-21,astralis,team nemesis,0.642,,W
2026-07-21,alliance,wildcard gaming,0.540,,L
2026-07-21,cybershoke esports,33,0.514,,W
2026-07-21,mouz,nuclear tigeres,0.697,0.803,W
2026-07-21,oddik,red feet,0.730,,W
2026-07-21,alka gaming,procyon gaming,0.561,0.565,W
2026-07-20,walczaki,just_players,0.601,,L
2026-07-20,1w team,arcred,0.611,0.563,W
2026-07-19,33,basement boys,0.694,0.707,W
2026-07-19,geng,t1,0.539,,W
2026-07-19,karmine corp,dplus kia,0.666,0.555,L
2026-07-19,bb team,parivision,0.626,,L
2026-07-18,t1,karmine corp,0.596,,L
2026-07-18,bb team,vici gaming,0.732,0.707,W
2026-07-17,1w team,genone,0.604,0.601,W
2026-07-17,hanwha life esports,t1,0.513,,L
2026-07-17,game hunters,alka gaming,0.580,0.569,W
2026-07-17,bilibili gaming,dplus kia,0.703,0.553,L
2026-07-17,anyones legend,karmine corp,0.563,,L
2026-07-17,bb team,nigma galaxy,0.683,0.741,W
2026-07-17,bestia academy,magicos,0.631,,W
2026-07-17,arcred,the last resort,0.522,0.432,VOID
2026-07-16,Just_Players,WW Team,0.519,0.447,W
2026-07-16,Bilibili Gaming,T1,0.510,0.405,W
2026-07-16,Anyones Legend,G2 esports,0.509,,W
2026-07-16,Hanwha Life Esports,Jd Gaming,0.654,0.577,W
2026-07-15,Lavked,Just_Players,0.541,0.591,L
2026-07-15,Sentinels,Secret Whales,0.529,0.625,W
2026-07-15,Bilibili Gaming,Movistar KOI,0.631,0.463,W
2026-07-15,The Last Resort,Enjoy,0.587,0.447,W
2026-07-15,Dplus KIA,Anyones Legend,0.670,0.638,L
2026-07-15,LYON,Jd Gaming,0.512,0.438,L
2026-07-14,Honved,GenOne,0.514,0.568,L
2026-07-14,Patins da Ferrari,METANOIA WOLVES,0.631,0.819,W
2026-07-14,Oddik,paiN Academy,0.524,0.694,W
2026-07-14,Vasco eSports,MAGICOS,0.660,0.798,L
2026-07-14,BESTIA Academy,Guara eSports,0.620,,W
2026-07-14,ex-KRU Esports,Alzon,0.575,,VOID
2026-07-13,Mouz,Lgd Gaming,0.808,0.261,L
2026-07-13,Xtreme Gaming,Team Liquid,0.652,0.343,L
2026-07-13,VirtusPro,Rune Eaters,0.540,0.673,L
2026-07-13,T1,GAM Esports,0.652,0.481,W
2026-07-13,Vici Gaming,PlayTime,0.679,0.541,VOID
2026-07-12,Honved,BRUTE,0.609,0.260,VOID
