sent_date,league,home,away,market,selection,model_prob,won
2026-08-27,Mediterranean Games,Portugal,Kosovo,total,Over 64.5,0.5251,0
2026-08-27,Herre Handbold Ligaen,Holstebro,Bjerringbro/Silkeborg,hcap,Holstebro +0.5,0.5951,1
2026-08-27,Herre Handbold Ligaen,Holstebro,Bjerringbro/Silkeborg,match,Holstebro,0.5472,1
2026-08-27,Mediterranean Games,Egypt,Italy,total,Under 65.5,0.544,1
2026-08-27,Herre Handbold Ligaen,Holstebro,Bjerringbro/Silkeborg,total,Over 62.5,0.6537,1
2026-08-27,Bundesliga,Kiel,Lemgo,total,Over 59.5,0.63,1
2026-08-27,Bundesliga,Fuchse Berlin,MT Melsungen,total,Over 61.5,0.7188,1
2026-08-28,2. Bundesliga,N-Lubbecke,Lubeck-Schwartau,total,Over 57.5,0.5219,0
2026-08-28,2. Bundesliga,Huttenberg,Grosswallstadt,total,Under 62.5,0.5728,0
2026-08-28,Bundesliga,Stuttgart,Bergischer,total,Under 60.5,0.6398,1
2026-08-28,2. Bundesliga,N-Lubbecke,Lubeck-Schwartau,match,Lubeck-Schwartau,0.465,1
2026-08-28,2. Bundesliga,Huttenberg,Grosswallstadt,match,Huttenberg,0.6991,1
2026-08-28,2. Bundesliga,N-Lubbecke,Lubeck-Schwartau,hcap,Lubeck-Schwartau — draw no bet,0.5028,1
2026-08-29,Herre Handbold Ligaen,Skanderborg AGF,GOG,match,Skanderborg AGF,0.5259,0
2026-08-29,Andebol 1,Belenenses,Vitoria SC,match,Belenenses,0.5369,1
2026-08-29,NLA,RTV Basel,Zurich,match,RTV Basel,0.5758,0
2026-08-29,1. Division,Norddjurs,Vendsyssel,match,Norddjurs,0.6127,1
2026-08-29,Trophee des Champions,PSG,Montpellier,match,PSG,0.6511,1
2026-08-29,Supercup,Voslauer,Krems,match,Voslauer,0.668,1
2026-08-29,Andebol 1,Belenenses,Vitoria SC,hcap,Belenenses — draw no bet,0.5258,1
2026-08-29,1. Division,Midtjylland,Lemvig,hcap,Midtjylland — draw no bet,0.5572,1
2026-08-29,NLA,RTV Basel,Zurich,hcap,RTV Basel -0.5,0.539,0
2026-08-29,2. Bundesliga,Emsdetten,Dessauer,hcap,Emsdetten — draw no bet,0.5547,1
2026-08-29,1. Division,Midtjylland,Lemvig,match,Midtjylland,0.4902,1
2026-08-29,Division 1 Women,Plan de Cuques W,Dijon W,hcap,Dijon W — draw no bet,0.5673,1
2026-08-29,Andebol 1,ABC Braga,Povoa,hcap,Povoa +2.5,0.6531,1
2026-08-29,Herre Handbold Ligaen,Skanderborg AGF,GOG,hcap,Skanderborg AGF +1,0.6575,0
