kickoff_uk,competition,home,away,model_home,model_draw,model_away,market_home,market_draw,market_away,model_pick,score,result,model_log_loss,market_log_loss
2026-09-21 08:00,Friendlies,Fiji,Vanuatu,0.4542,0.2959,0.2499,0.4796,0.2558,0.2646,home,0-1,away,1.3867,1.3295
2026-09-23 15:30,Gulf Cup,Iraq,Oman,0.4499,0.2767,0.2734,0.4743,0.2802,0.2455,home,1-1,draw,1.2848,1.2723
2026-09-23 17:00,Friendlies,Azerbaijan,Tajikistan,0.1498,0.2686,0.5816,0.5606,0.2464,0.193,away,1-0,home,1.8985,0.5787
2026-09-23 17:00,Friendlies,Gibraltar,Sao Tome and Principe,0.3453,0.3072,0.3476,0.7364,0.17,0.0935,away,0-0,draw,1.1803,1.772
2026-09-23 19:00,Gulf Cup,Saudi Arabia,Kuwait,0.6854,0.2234,0.0912,0.7226,0.1806,0.0968,home,1-0,home,0.3778,0.3249
2026-09-23 20:00,CONCACAF Nations League,Turks and Caicos Islands,Montserrat,0.2284,0.2376,0.534,0.0538,0.122,0.8242,away,0-2,away,0.6274,0.1933
2026-09-23 21:00,CONCACAF Nations League,Bahamas,Saint Martin,0.1642,0.2186,0.6173,0.0621,0.1205,0.8174,away,0-8,away,0.4824,0.2016
2026-09-24 00:00,CONCACAF Nations League,Aruba,Antigua and Barbuda,0.5539,0.2283,0.2177,0.3483,0.2618,0.3899,home,1-0,home,0.5908,1.0547
2026-09-24 08:00,Friendlies,Papua New Guinea,New Caledonia,0.3141,0.3074,0.3785,0.4398,0.2716,0.2886,away,1-2,away,0.9715,1.2427
2026-09-24 10:30,Friendlies,Palestine,New Zealand,0.2719,0.3037,0.4244,0.1971,0.2616,0.5413,away,2-2,draw,1.1917,1.3409
2026-09-24 11:05,Friendlies,Japan,Uruguay,0.6296,0.2433,0.1272,0.4573,0.2899,0.2529,home,3-1,home,0.4627,0.7824
2026-09-24 12:00,Friendlies,South Korea,Ecuador,0.4026,0.3033,0.2942,0.3844,0.2996,0.316,home,3-0,home,0.9098,0.9561
2026-09-24 12:35,Friendlies,China,Maldives,0.8357,0.1335,0.0308,0.961,0.0235,0.0155,home,3-0,home,0.1795,0.0398
2026-09-24 14:00,AFCON Q,Namibia,Congo,0.5463,0.2503,0.2034,0.4267,0.2987,0.2746,home,1-0,home,0.6046,0.8517
2026-09-24 15:00,Friendlies,Uzbekistan,Iran,0.2306,0.2967,0.4727,0.3356,0.3031,0.3614,away,3-1,home,1.4671,1.0918
2026-09-24 16:00,Gulf Cup,United Arab Emirates,Yemen,0.7452,0.1957,0.0591,0.6995,0.1935,0.107,home,4-0,home,0.2941,0.3574
2026-09-24 17:00,Nations League,Andorra,Malta,0.2599,0.2434,0.4967,0.2707,0.339,0.3903,away,1-2,away,0.6998,0.9408
2026-09-24 17:00,AFCON Q,Mauritania,Central African Republic,0.656,0.2154,0.1286,0.5478,0.2723,0.1798,home,3-1,home,0.4216,0.6018
2026-09-24 17:00,AFCON Q,Libya,Botswana,0.6784,0.2066,0.115,0.5777,0.2648,0.1575,home,2-2,draw,1.577,1.3288
2026-09-24 17:00,AFCON Q,Congo DR,Equatorial Guinea,0.7476,0.1756,0.0768,0.6302,0.2321,0.1377,home,2-0,home,0.2909,0.4617
2026-09-24 19:00,Gulf Cup,Qatar,Bahrain,0.433,0.2772,0.2898,0.4538,0.2793,0.2669,home,2-0,home,0.837,0.7901
2026-09-24 19:45,Nations League,Norway,Denmark,0.5126,0.2368,0.2507,0.5014,0.2577,0.2409,home,3-2,home,0.6683,0.6904
2026-09-24 19:45,Nations League,Liechtenstein,Lithuania,0.0879,0.177,0.7352,0.0853,0.1943,0.7203,away,0-2,away,0.3076,0.3281
2026-09-24 19:45,Nations League,Kosovo,Rep. Of Ireland,0.4163,0.2489,0.3348,0.3465,0.3057,0.3478,home,1-0,home,0.8763,1.0599
2026-09-24 19:45,Nations League,Netherlands,Germany,0.4828,0.2416,0.2756,0.4054,0.2555,0.3391,home,1-1,draw,1.4205,1.3645
2026-09-24 19:45,Nations League,Serbia,Greece,0.4476,0.2461,0.3063,0.368,0.2844,0.3476,home,1-2,away,1.1832,1.0567
2026-09-24 19:45,Nations League,Portugal,Wales,0.8256,0.1264,0.048,0.751,0.1673,0.0816,home,1-0,home,0.1916,0.2863
2026-09-24 19:45,Nations League,Austria,Israel,0.7748,0.1523,0.0729,0.6798,0.1961,0.1242,home,3-1,home,0.2552,0.386
2026-09-24 20:00,AFCON Q,Ivory Coast,Ghana,0.7553,0.1718,0.073,0.5546,0.2616,0.1838,home,2-0,home,0.2806,0.5895
2026-09-24 20:00,AFCON Q,Cameroon,Comoros,0.6753,0.2078,0.1168,0.7753,0.1612,0.0636,home,3-1,home,0.3926,0.2545
2026-09-24 20:00,AFCON Q,Tunisia,Uganda,0.6465,0.219,0.1345,0.6337,0.234,0.1323,home,1-1,draw,1.5187,1.4524
2026-09-24 20:00,AFCON Q,Sierra Leone,Zimbabwe,0.4356,0.2713,0.2931,0.3921,0.315,0.2928,home,2-3,away,1.2272,1.2283
2026-09-24 20:00,CONCACAF Nations League,Puerto Rico,Guyana,0.4041,0.2489,0.347,0.3343,0.286,0.3797,home,0-1,away,1.0584,0.9684
2026-09-25 01:00,CONCACAF Nations League,Dominican Republic,Nicaragua,0.5168,0.2354,0.2479,0.6,0.2394,0.1607,home,3-2,home,0.6601,0.5108
2026-09-25 01:10,CONCACAF Nations League,Cayman Islands,Dominica,0.2608,0.2428,0.4964,0.1535,0.222,0.6245,away,0-0,draw,1.4155,1.5051
2026-09-25 01:20,CONCACAF Nations League,Haiti,Trinidad and Tobago,0.6527,0.2006,0.1467,0.5843,0.2381,0.1776,home,3-2,home,0.4266,0.5373
2026-09-25 03:00,CONCACAF Nations League,Costa Rica,Curaçao,0.5435,0.2301,0.2265,0.543,0.2564,0.2007,home,3-4,away,1.485,1.6059
2026-09-25 11:00,Friendlies,Australia,Brazil,0.2442,0.2999,0.4559,0.1099,0.185,0.7051,away,1-1,draw,1.2043,1.6874
2026-09-25 14:00,AFCON Q,Mozambique,Senegal,0.0749,0.1877,0.7374,0.0951,0.1916,0.7133,away,1-1,draw,1.6729,1.6523
2026-09-25 14:00,AFCON Q,Tanzania,Guinea-Bissau,0.5705,0.2438,0.1857,0.3782,0.3229,0.2989,home,0-2,away,1.6836,1.2076
2026-09-25 15:00,Friendlies,India,Panama,0.1075,0.2429,0.6497,0.1131,0.2035,0.6834,away,1-1,draw,1.4151,1.5921
2026-09-25 16:00,AFCON Q,Niger,Lesotho,0.6628,0.2128,0.1244,0.5899,0.2546,0.1555,home,2-1,home,0.4113,0.5278
2026-09-25 17:00,Nations League,Georgia,Northern Ireland,0.5702,0.2246,0.2052,0.4917,0.2748,0.2336,home,0-1,away,1.5838,1.4541
2026-09-25 17:00,Nations League,Armenia,Latvia,0.4778,0.2423,0.2798,0.5377,0.2557,0.2066,home,2-0,home,0.7386,0.6205
2026-09-25 17:00,AFCON Q,Malawi,South Sudan,0.5579,0.2473,0.1948,0.609,0.2502,0.1408,home,2-1,home,0.5836,0.4959
2026-09-25 17:00,AFCON Q,Nigeria,Madagascar,0.8077,0.1437,0.0486,0.7412,0.1709,0.0879,home,2-1,home,0.2136,0.2995
2026-09-25 17:00,AFCON Q,Gambia,Somalia,0.7853,0.1561,0.0586,0.7452,0.1706,0.0841,home,2-1,home,0.2417,0.2941
2026-09-25 17:00,AFCON Q,Togo,Burundi,0.6242,0.2269,0.1489,0.5767,0.2587,0.1646,home,1-0,home,0.4713,0.5504
2026-09-25 17:00,AFCON Q,Rwanda,Liberia,0.5764,0.2421,0.1815,0.472,0.2908,0.2372,home,3-1,home,0.551,0.7508
2026-09-25 17:00,AFCON Q,Sudan,Ethiopia,0.4984,0.2612,0.2404,0.4856,0.2898,0.2246,home,1-0,home,0.6964,0.7224
2026-09-25 19:45,Nations League,Türkiye,France,0.1601,0.2168,0.6231,0.1575,0.2124,0.6301,away,0-1,away,0.473,0.4619
2026-09-25 19:45,Nations League,Poland,Bosnia & Herzegovina,0.6577,0.1994,0.1428,0.5713,0.2436,0.1851,home,0-0,draw,1.6124,1.4122
2026-09-25 19:45,Nations League,Italy,Belgium,0.3148,0.2494,0.4358,0.4095,0.2691,0.3214,away,0-2,away,0.8306,1.1351
2026-09-25 19:45,Nations League,Hungary,Ukraine,0.4153,0.249,0.3357,0.4229,0.2863,0.2908,home,0-1,away,1.0915,1.2351
2026-09-25 19:45,Nations League,Montenegro,Cyprus,0.6611,0.1983,0.1406,0.5768,0.2425,0.1808,home,2-1,home,0.4139,0.5503
2026-09-25 19:45,Nations League,Sweden,Romania,0.5818,0.2218,0.1964,0.6213,0.2152,0.1635,home,2-1,home,0.5416,0.4759
2026-09-25 20:00,AFCON Q,Burkina Faso,Benin,0.6655,0.2117,0.1228,0.6237,0.2421,0.1342,home,1-1,draw,1.5526,1.4184
2026-09-25 20:00,AFCON Q,Algeria,Zambia,0.8502,0.118,0.0318,0.6892,0.2087,0.102,home,3-1,home,0.1623,0.3722
2026-09-25 20:00,AFCON Q,Morocco,Gabon,0.8836,0.0959,0.0205,0.7265,0.1767,0.0967,home,2-0,home,0.1238,0.3195
2026-09-25 20:00,AFCON Q,Egypt,Angola,0.7571,0.1708,0.072,0.6522,0.2259,0.1219,home,0-0,draw,1.7673,1.4877
2026-09-25 20:00,AFCON Q,Mali,Cape Verde Islands,0.4809,0.2645,0.2546,0.465,0.3138,0.2212,home,3-1,home,0.7321,0.7657
2026-09-25 20:00,CONCACAF Nations League,Bermuda,Guadeloupe,0.1164,0.1951,0.6885,0.2638,0.2902,0.4459,away,1-2,away,0.3732,0.8077
2026-09-25 22:00,CONCACAF Nations League,Grenada,Cuba,0.4991,0.2384,0.2625,0.3225,0.296,0.3815,home,0-3,away,1.3375,0.9636
2026-09-26 01:00,CONCACAF Nations League,Jamaica,Guatemala,0.5611,0.2262,0.2127,0.5124,0.2745,0.213,home,3-2,home,0.5779,0.6686
2026-09-26 01:00,CONCACAF Nations League,Barbados,St. Lucia,0.2829,0.2458,0.4713,0.2917,0.2742,0.4341,away,2-0,home,1.2627,1.232
2026-09-26 02:00,CONCACAF Nations League,Honduras,Suriname,0.5061,0.2373,0.2567,0.5067,0.2737,0.2196,home,2-3,away,1.3598,1.5159
2026-09-26 04:00,CONCACAF Nations League,El Salvador,Martinique,0.4765,0.2419,0.2817,0.5127,0.2675,0.2197,home,3-1,home,0.7413,0.6681
