date,favourite,opponent,model_prob,market_prob,result
2026-09-02,Stan Moody,Yao Pengcheng,0.664,,W
2026-09-02,Mark Selby,Lei Peifan,0.786,0.801,W
2026-09-02,Fan Zhengyi,Matthew Stevens,0.606,0.621,W
2026-09-02,Long Zehuang,Ashley Carty,0.628,0.617,W
2026-09-02,Judd Trump,Ricky Walden,0.829,0.835,W
2026-09-02,Jamie Jones,Wang Xinbo,0.538,0.443,L
2026-09-02,Shaun Murphy,David Gilbert,0.584,0.636,L
2026-09-02,Ross Muir,Bai Yulu,0.658,0.728,W
2026-09-02,Zak Surety,David Grace,0.575,0.619,L
2026-09-02,Aaron Hill,Ben Mertens,0.590,0.615,W
2026-09-02,John Higgins,Noppon Saengkham,0.644,0.640,W
2026-09-02,Zhao Xintong,Daniel Wells,0.810,0.864,W
2026-09-02,Lyu Haotian,Duane Jones,0.677,0.614,W
2026-09-02,Ding Junhui,Iulian Boiko,0.675,0.703,L
2026-09-02,Jack Lisowski,Ishpreet Singh Chadha,0.615,0.742,W
2026-09-02,Pang Junxu,Mark Joyce,0.746,0.705,L
2026-09-02,Kyren Wilson,Liam Highfield,0.793,0.775,L
2026-09-02,Chang Bingyu,Jak Jones,0.539,0.660,L
2026-09-02,He Guoqiang,Artemijs Zizins,0.562,0.549,L
2026-09-01,Jordan Brown,Mark Joyce,0.547,0.558,L
2026-09-01,He Guoqiang,Gong Chenzhi,0.643,0.645,W
2026-09-01,Jackson Page,Jimmy Robertson,0.564,0.558,W
2026-09-01,Jak Jones,Anthony McGill,0.541,,W
2026-09-01,Chang Bingyu,Chatchapong Nasa,0.848,0.941,W
2026-09-01,Duane Jones,Yang Liu,0.631,0.639,W
2026-09-01,Xiao Guodong,Lyu Haotian,0.782,0.799,L
2026-09-01,Zhao Xintong,Oliver Brown,0.898,0.971,W
2026-09-01,Liam Highfield,Mahmoud El Hareedy,0.730,0.895,W
2026-09-01,Artemijs Zizins,Joshua Thomond,0.791,0.835,W
2026-09-01,Wu Yize,Kyren Wilson,0.521,0.541,L
2026-09-01,Zhang Anda,Chris Wakelin,0.574,0.559,W
2026-09-01,Elliot Slessor,Jamie Rhys Clarke,0.698,0.636,W
2026-09-01,Ding Junhui,Sean OSullivan,0.859,0.902,W
2026-09-01,Jack Lisowski,Mitchell Mann,0.788,0.823,W
2026-09-01,Steven Hallworth,Ishpreet Singh Chadha,0.531,0.444,L
2026-09-01,Pang Junxu,Liam Graham,0.820,0.813,W
2026-09-01,Michael Holt,Phil O'Kane,0.663,0.830,W
2026-09-01,Ali Carter,Thanawat Tirapongpaiboon,0.738,0.794,L
2026-09-01,Barry Hawkins,Liam Davies,0.736,0.735,L
2026-08-31,Mark Williams,David Gilbert,0.597,0.579,L
2026-08-31,Shaun Murphy,Reanne Evans,0.959,0.980,W
2026-08-31,Ding Junhui,Anton Kazakov,0.840,0.824,W
2026-08-31,Iulian Boiko,Xu Yichen,0.625,0.617,W
2026-08-31,Kyren Wilson,Florian Nuessle,0.778,0.832,W
2026-08-31,Barry Hawkins,Deng Haohui,0.827,0.824,W
2026-08-31,Wu Yize,Liu Hongyu,0.770,0.754,W
2026-08-31,Mark Joyce,Mateusz Baranowski,0.572,0.556,W
2026-08-31,Judd Trump,Dylan Emery,0.824,0.831,W
2026-08-31,Chris Wakelin,Luca Brecel,0.529,0.593,W
2026-08-31,Xiao Guodong,Jiang Jun,0.633,0.655,W
2026-08-31,Mark Selby,David Lilley,0.870,0.894,W
2026-08-31,Neil Robertson,Pang Junxu,0.656,0.681,L
2026-08-31,SI Jiahui,Ashley Carty,0.673,0.744,L
2026-08-31,John Higgins,Hossein Vafaei,0.623,0.642,W
2026-08-29,Zhao Xintong,Chang Bingyu,0.646,0.678,L
2026-08-28,Ronnie O'Sullivan,Chang Bingyu,0.515,0.528,L
2026-08-28,Zhao Xintong,Xiao Guodong,0.734,0.758,W
2026-08-27,Judd Trump,Chang Bingyu,0.712,0.701,L
2026-08-27,Mark Selby,Ronnie O'Sullivan,0.613,0.602,L
2026-08-27,Zhao Xintong,Neil Robertson,0.638,0.654,W
2026-08-27,Mark Williams,Xiao Guodong,0.522,0.510,L
2026-08-26,Mark Selby,Pang Junxu,0.761,0.785,W
2026-08-26,Ronnie O'Sullivan,Stephen Maguire,0.720,0.730,W
2026-08-26,Chang Bingyu,Ali Carter,0.584,0.567,W
2026-08-26,Judd Trump,SI Jiahui,0.793,0.776,W
2026-08-26,Zhao Xintong,Barry Hawkins,0.723,0.725,W
2026-08-26,Mark Williams,Daniel Wells,0.718,0.723,W
2026-08-26,Neil Robertson,Liam Davies,0.678,0.803,W
2026-08-26,Xiao Guodong,Chris Wakelin,0.571,0.549,W
2026-08-25,Stephen Maguire,Artemijs Zizins,0.610,0.586,W
2026-08-25,Ronnie O'Sullivan,Yao Pengcheng,0.792,0.830,W
2026-08-25,Neil Robertson,Hossein Vafaei,0.642,0.651,W
2026-08-25,SI Jiahui,Dylan Emery,0.707,0.707,W
2026-08-25,Daniel Wells,Michael Holt,0.507,0.523,W
2026-08-25,Zhao Xintong,Jak Jones,0.731,0.765,W
2026-08-25,Mark Selby,He Guoqiang,0.830,0.827,W
2026-08-25,Barry Hawkins,Ryan Day,0.674,0.702,W
2026-08-24,Zhao Xintong,Gao Yang,0.852,0.874,W
2026-08-24,Mark Selby,Fan Zhengyi,0.801,0.806,W
2026-08-24,Shaun Murphy,Alfie Burden,0.850,0.862,W
