date,market_group,home_team,away_team,selection,odds,won,units,clv
2026-07-13,1X2,Djurgardens IF,Halmstad,AWAY,11.0,0,-1.0,
2026-07-13,1X2,Djurgardens IF,Halmstad,HOME,1.22,1,0.22,
2026-07-13,ACCA,,,,1.22,1,0.22,
2026-07-13,ACCA,,,,2.501,0,-0.5,
2026-07-13,ACCA,,,,1.8056,1,0.4,
2026-07-13,BTTS,Djurgardens IF,Halmstad,YES,2.05,0,-1.0,
2026-07-13,BTTS,Djurgardens IF,Halmstad,YES,2.05,0,-1.0,
2026-07-13,CS,Djurgardens IF,Halmstad,2-0,8.5985,0,-1.0,
2026-07-13,CS,Djurgardens IF,Halmstad,3-0,9.7276,1,8.73,
2026-07-13,CS,Djurgardens IF,Halmstad,1-0,11.4155,0,-1.0,
2026-07-13,OU,Djurgardens IF,Halmstad,UNDER 2.5,2.6,0,-1.0,
2026-07-13,OU,Djurgardens IF,Halmstad,OVER 2.5,1.48,1,0.48,
