date,kickoff_utc,market_group,market,home_team,away_team,selection,odds,odds_source,bet_type,won,home_goals,away_goals,stake,pnl,clv,published
2026-08-08,2026-08-08 14:00:00+00:00,1X2,1X2,Dunfermline,Ayr Utd,HOME,2.05,,EV,0,1,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Stranraer,Annan Athletic,2-1,9.5,market,TOP3,0,0,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Stranraer,Annan Athletic,1-1,6.5,market,TOP1,0,0,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Viking,Sarpsborg 08 FF,1-1,11.0,market,TOP3,0,2,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Viking,Sarpsborg 08 FF,2-0,10.0,market,TOP2,0,2,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Viking,Sarpsborg 08 FF,2-1,9.0,market,TOP1,1,2,1,10.0,80.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,East Fife,Cove Rangers,0-1,9.5,market,TOP3,0,2,0,10.0,-10.0,-0.05,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,East Fife,Cove Rangers,1-0,7.5,market,TOP2,0,2,0,10.0,-10.0,0.0714285714285714,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,East Fife,Cove Rangers,1-1,6.5,market,TOP1,0,2,0,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Weston-super-Mare,Chesham United,2-1,9.5,market,TOP3,0,3,0,10.0,-10.0,-0.05,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Weston-super-Mare,Chesham United,1-0,7.5,market,TOP2,0,3,0,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Weston-super-Mare,Chesham United,1-1,6.5,market,TOP1,0,3,0,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Truro City,Maidenhead,2-1,9.0,market,TOP3,0,2,0,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Truro City,Maidenhead,1-0,9.0,market,TOP2,0,2,0,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Truro City,Maidenhead,1-1,8.0,market,TOP1,0,2,0,10.0,-10.0,0.0666666666666666,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Torquay,Horsham,2-1,9.0,market,TOP3,0,1,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Torquay,Horsham,3-0,8.5,market,TOP2,0,1,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,Torquay,Horsham,2-0,7.0,market,TOP1,0,1,1,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,AFC Fylde,Wealdstone,1-0,9.5,market,TOP3,0,2,2,10.0,-10.0,0.0,False
2026-08-08,2026-08-08 14:00:00+00:00,CS,Correct Score,AFC Fylde,Wealdstone,2-1,8.5,market,TOP2,0,2,2,10.0,-10.0,0.0,False
